EMPENHO,REPASSE,FORNECEDOR,TIPO DE DOCUMENTO,Nº DOCUMENTO,VALOR DESPESA,DESCRIÇÃO,REF VALOR REPASSADO,SALDO,LINK DOCUMENTO,PROGRAMA
,"20.000.000,00",,,,,Repasse,1° repasse,"20.000.000,00",,USINA FOTOVOLTAICA
36052/2025,,SEMIRAMIS DE CASTRO CARNELOSSI,ESCRITURA,,"(3.706.400,00)",Desapropriação,1° repasse,"16.293.600,00",https://drive.google.com/file/d/1XYGxR8AVGDH_2-skc7zM84FWBTo1hhRl/view?usp=drive_link,USINA FOTOVOLTAICA
36053/2025,,TRANSTODON LTDA EPP,ESCRITURA,,"(1.850.000,00)",Desapropriação,1° repasse,"14.443.600,00",https://drive.google.com/file/d/1BC5yXEyDVM4SLoQ9hHtloLSM4hvduwlt/view?usp=drive_link,USINA FOTOVOLTAICA
41040/2025,,JOSE CAOVILLA FILHO,ESCRITURA,,"(1.350.000,00)",Desapropriação,1° repasse,"13.093.600,00",,USINA FOTOVOLTAICA
41041/2025,,REINALDO CAOVILLA,ESCRITURA,,"(200.000,00)",Desapropriação,1° repasse,"12.893.600,00",,USINA FOTOVOLTAICA
41045/2025,,REINALDO CAOVILLA,ESCRITURA,,"(750.000,00)",Desapropriação,1° repasse,"12.143.600,00",,USINA FOTOVOLTAICA
41048/2025,,REINALDO CAOVILLA,ESCRITURA,,"(200.000,00)",Desapropriação,1° repasse,"11.943.600,00",,USINA FOTOVOLTAICA
41044/2025,,ORIVALDO CAOVILLA,ESCRITURA,,"(1.350.000,00)",Desapropriação,1° repasse,"10.593.600,00",,USINA FOTOVOLTAICA
41042/2025,,REINALDO CAOVILLA,ESCRITURA,,"(200.000,00)",Desapropriação,1° repasse,"10.393.600,00",,USINA FOTOVOLTAICA
41039/2025,,EMILIO CAOVILLA,ESCRITURA,,"(756.000,00)",Desapropriação,1° repasse,"9.637.600,00",,USINA FOTOVOLTAICA
41043/2025,,ALEX TIMOTEO MARTINS,ESCRITURA,,"(594.000,00)",Desapropriação,1° repasse,"9.043.600,00",,USINA FOTOVOLTAICA
41049/2025,,CARLOS ROBERTO CAOVILLA,ESCRITURA,,"(1.350.000,00)",Desapropriação,1° repasse,"7.693.600,00",,USINA FOTOVOLTAICA
